fold,best_f1,val_acc
0,0.7812062201584166,0.7679197994987469
1,0.7071663524956946,0.7006516290726817
2,0.6847315409243742,0.6756892230576441
3,0.6768160869333189,0.6602506265664161
4,0.7997914789669827,0.7909774436090226
